id,category1Name,category2Name,category3Name,categoryId,ean,upcCode,name,description,brand,mediaUrl
4123018514188-1000,Book,Literature and Fiction,Novel,1-2-5,4123018514188,412301851418,Tintin in Tibet - novel,"A captivating story for young and old, not to be missed.",Hachette,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018514188.jpg
4123018514255-1000,Book,Literature and Fiction,Crime and Thriller,1-2-6,4123018514255,412301851425,The adventures of Spirou and Fantasio - crime and thriller,"A classic of the genre, reprinted in a superior quality edition.",Flammarion,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018514255.jpg
4123018514322-1000,Book,Literature and Fiction,Teen and Young Adult,1-2-7,4123018514322,412301851432,Asterix and the Normans - teen and young adult,The perfect album to enrich your comic book collection.,Penguin,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018514322.jpg
4123018514499-1000,Book,Literature and Fiction,Used Literature and Fiction,1-2-8,4123018514499,412301851449,Tintin in Tibet - used literature and fiction,"Dive into a thrilling adventure, ideal for comic book fans.",Flammarion,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018514499.jpg
4123018514566-1000,Book,Children and Youth Books,Book 0-3 Years,1-3-1,4123018514566,412301851456,Asterix and the Normans - book 0-3 years,"Dive into a thrilling adventure, ideal for comic book fans.",Gallimard,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018514566.jpg
4123018514633-1000,Book,Children and Youth Books,Book 3-6 Years,1-3-2,4123018514633,412301851463,New epic: The big nice bear book 3-6 years,A must-have masterpiece for all fans of classic comics.,Hachette,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018514633.jpg
4123018514700-1000,Book,Children and Youth Books,Book 6-9 Years,1-3-3,4123018514700,412301851470,Tintin in Tibet - book 6-9 years,"A captivating story for young and old, not to be missed.",Penguin,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018514700.jpg
4123018514877-1000,Book,Children and Youth Books,Used Children's Books,1-3-4,4123018514877,412301851487,New epic: The big nice bear used youth book,"A classic of the genre, reprinted in a superior quality edition.",Penguin,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018514877.jpg
4123018514944-1000,Book,E-Books and Readers,E-Book,1-4-1,4123018514944,412301851494,Asterix and the Normans - e-book,"A captivating story for young and old, not to be missed.",Flammarion,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018514944.jpg
4123018515000-1000,Book,E-Books and Readers,Kindle Reader,1-4-2,4123018515000,412301851500,Collector's edition: Kindle e-reader,A must-have masterpiece for all fans of classic comics.,Flammarion,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018515000.jpg
4123018515177-1000,Book,E-Books and Readers,Kobo Reader,1-4-3,4123018515177,412301851517,Asterix and the Normans - Kobo e-reader,A must-have masterpiece for all fans of classic comics.,HarperCollins,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018515177.jpg
4123018515244-1000,Book,Leisure and Well-Being,Cooking,1-5-1,4123018515244,412301851524,Collector's edition: cooking,A must-have masterpiece for all fans of classic comics.,Flammarion,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018515244.jpg
4123018515311-1000,Book,Leisure and Well-Being,Health and Medicine,1-5-2,4123018515311,412301851531,The feel good  body book - health and medicine,"Dive into a thrilling adventure, ideal for comic book fans.",Gallimard,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018515311.jpg
4123018515488-1000,Book,Leisure and Well-Being,Psychology and Psychoanalysis,1-5-3,4123018515488,412301851548,Feeling great book - psychology and psychoanalysis,"A captivating story for young and old, not to be missed.",Flammarion,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018515488.jpg
4123018515555-1000,Book,Leisure and Well-Being,Used Leisure and Well-being,1-5-4,4123018515555,412301851555,Tintin in Tibet - used leisure and well-being,"A classic of the genre, reprinted in a superior quality edition.",Hachette,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018515555.jpg
4123018515622-1000,Book,Society and Culture,News and Media,1-6-1,4123018515622,412301851562,Tintin in Tibet - news and media,A must-have masterpiece for all fans of classic comics.,Gallimard,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018515622.jpg
4123018515799-1000,Book,Society and Culture,Political Science,1-6-2,4123018515799,412301851579,New epic: political science,"Dive into a thrilling adventure, ideal for comic book fans.",Hachette,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018515799.jpg
4123018515866-1000,Book,Society and Culture,All Society and Culture,1-6-3,4123018515866,412301851586,Asterix and the Normans - all society and culture,The perfect album to enrich your comic book collection.,HarperCollins,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018515866.jpg
4123018515933-1000,Book,Society and Culture,Used Society and Culture,1-6-4,4123018515933,412301851593,The adventures of Spirou and Fantasio - used society and culture,"Dive into a thrilling adventure, ideal for comic book fans.",Flammarion,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018515933.jpg
4123018516099-1000,Book,School Supplies and Manuals,Stationery and Supplies,1-7-1,4123018516099,412301851609,New epic: stationery and supplies,"A captivating story for young and old, not to be missed.",HarperCollins,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018516099.jpg
4123018516166-1000,Book,School Supplies and Manuals,Holiday Notebook,1-7-2,4123018516166,412301851616,The adventures of Spirou and Fantasio - holiday notebook,The perfect album to enrich your comic book collection.,Gallimard,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018516166.jpg
4123018516233-1000,Book,School Supplies and Manuals,School Manual,1-7-3,4123018516233,412301851623,Collector's edition: school manual,The perfect album to enrich your comic book collection.,Gallimard,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018516233.jpg
4123018516300-1000,Book,School Supplies and Manuals,Used School Supplies and Manuals,1-7-4,4123018516300,412301851630,Collector's edition: used supplies and school manual,A must-have masterpiece for all fans of classic comics.,Gallimard,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018516300.jpg
4123018516477-1000,Book,Second-Hand,Manga and Comics,1-8-1,4123018516477,412301851647,Collector's edition: manga and comics,A must-have masterpiece for all fans of classic comics.,Penguin,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018516477.jpg
4123018516544-1000,Book,Second-Hand,Children and Youth Books,1-8-2,4123018516544,412301851654,New epic: children and youth book,"A captivating story for young and old, not to be missed.",Hachette,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018516544.jpg
4123018516611-1000,Book,Second-Hand,Literature and Fiction,1-8-3,4123018516611,412301851661,Tintin in Tibet - literature and fiction,The perfect album to enrich your comic book collection.,Hachette,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018516611.jpg
4123018516788-1000,Book,Second-Hand,Society and Culture,1-8-4,4123018516788,412301851678,Tintin in Tibet - society and culture,A must-have masterpiece for all fans of classic comics.,HarperCollins,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018516788.jpg
4123018516855-1000,Book,Second-Hand,School Supplies and Manuals,1-8-5,4123018516855,412301851685,Collector's edition: supplies and school manual,"Dive into a thrilling adventure, ideal for comic book fans.",Penguin,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018516855.jpg
4123018516922-1000,"Music, CD",CD by Genre,French Variety,2-1-1,4123018516922,412301851692,Debussy Symphony - French Variety,A musical journey through the best pieces of the genre.,Warner,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018516922.jpg
4123018517088-1000,"Music, CD",CD by Genre,Metal,2-1-2,4123018517088,412301851708,Daft Punk Hits - Metal,A high quality recording for the most demanding music lovers.,EMI,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018517088.jpg
4123018517155-1000,"Music, CD",CD by Genre,Classical,2-1-3,4123018517155,412301851715,Opera collection: classic,A musical journey through the best pieces of the genre.,Atlantic Records,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018517155.jpg
4123018517222-1000,"Music, CD",CD by Genre,International Variety,2-1-4,4123018517222,412301851722,Mozart Symphony - International Variety,Discover the greatest hits in an exceptional edition.,Atlantic Records,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018517222.jpg
4123018517399-1000,"Music, CD",CD by Genre,Rock,2-1-5,4123018517399,412301851739,Daft Punk Hits - Rock,A high quality recording for the most demanding music lovers.,Sony Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018517399.jpg
4123018517466-1000,"Music, CD",CD by Genre,Pop,2-1-6,4123018517466,412301851746,Daft Punk Hits - Pop,Discover the greatest hits in an exceptional edition.,Universal Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018517466.jpg
4123018517533-1000,"Music, CD",CD by Genre,Jazz,2-1-7,4123018517533,412301851753,Jazz compilation: jazz,A high quality recording for the most demanding music lovers.,Atlantic Records,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018517533.jpg
4123018517600-1000,"Music, CD",CD by Genre,Film Music,2-1-8,4123018517600,412301851760,Daft Punk Hits - Movie Music,An essential collection for all music lovers.,EMI,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018517600.jpg
4123018517777-1000,"Music, CD",Vinyl,45 RPM Records,2-2-1,4123018517777,412301851777,Unforgettable songs: 45 rpm,Ideal for lovers of classical and modern music.,Universal Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018517777.jpg
4123018517844-1000,"Music, CD",Vinyl,25cm Vinyl,2-2-2,4123018517844,412301851784,Daft Punk Hits - 25cm Vinyl,An essential collection for all music lovers.,Sony Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018517844.jpg
4123018517911-1000,"Music, CD",Vinyl,Juke Box Vinyl,2-2-3,4123018517911,412301851791,Daft Punk Hits - Jukebox Vinyl,An essential collection for all music lovers.,Warner,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018517911.jpg
4123018518077-1000,"Music, CD",Vinyl,33 RPM Records,2-2-4,4123018518077,412301851807,Mozart Symphony - 33 rpm,A high quality recording for the most demanding music lovers.,Universal Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018518077.jpg
4123018518144-1000,"Music, CD",Vinyl,Maxi 45 RPM Records,2-2-5,4123018518144,412301851814,Daft Punk Hits - 45 rpm maxi,A high quality recording for the most demanding music lovers.,Sony Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018518144.jpg
4123018518211-1000,"Music, CD",Vinyl,78 RPM Records,2-2-6,4123018518211,412301851821,Mozart Symphony - 78 rpm,An essential collection for all music lovers.,Atlantic Records,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018518211.jpg
4123018518388-1000,"Music, CD",Musical Instruments,Guitar and Bass,2-3-1,4123018518388,412301851838,Jazz compilation: guitar and bass,A high quality recording for the most demanding music lovers.,Universal Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018518388.jpg
4123018518455-1000,"Music, CD",Musical Instruments,Drums and Percussion,2-3-2,4123018518455,412301851845,Unforgettable songs: drums and percussion,A high quality recording for the most demanding music lovers.,Sony Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018518455.jpg
4123018518522-1000,"Music, CD",Musical Instruments,String Instruments,2-3-3,4123018518522,412301851852,Daft Punk Hits - String Instrument,A musical journey through the best pieces of the genre.,EMI,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018518522.jpg
4123018518699-1000,"Music, CD",Musical Instruments,Music Stand,2-3-4,4123018518699,412301851869,Daft Punk Hits - Music Stand,A high quality recording for the most demanding music lovers.,Warner,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018518699.jpg
4123018518766-1000,"Music, CD",Musical Instruments,Accessory,2-3-5,4123018518766,412301851876,Unforgettable songs: accessory,Discover the greatest hits in an exceptional edition.,EMI,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018518766.jpg
4123018518833-1000,"Music, CD",Musical Instruments,Piano and Keyboard,2-3-6,4123018518833,412301851883,Mozart Symphony - Piano and Keyboard,An essential collection for all music lovers.,Sony Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018518833.jpg
4123018518900-1000,"Music, CD",Musical Instruments,Wind Instruments,2-3-7,4123018518900,412301851890,Daft Punk Hits - Wind Instrument,Ideal for lovers of classical and modern music.,Sony Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018518900.jpg
4123018519066-1000,"Music, CD",Musical Instruments,Studio Instrument,2-3-8,4123018519066,412301851906,Jazz compilation: studio instrument,Ideal for lovers of classical and modern music.,Universal Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018519066.jpg
4123018519133-1000,"Music, CD",Music Scores,Sheet Music,2-4-1,4123018519133,412301851913,Daft Punk Hits - Sheet Music,A musical journey through the best pieces of the genre.,EMI,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018519133.jpg
4123018519200-1000,"Music, CD",Music Scores,Songbook,2-4-2,4123018519200,412301851920,Daft Punk Hits - Songbook,A high quality recording for the most demanding music lovers.,Atlantic Records,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018519200.jpg
4123018519377-1000,"Music, CD",Music Scores,Used Sheet Music,2-4-3,4123018519377,412301851937,Jazz compilation: used score,Ideal for lovers of classical and modern music.,Universal Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018519377.jpg
4123018519444-1000,"Music, CD",Music Scores,Method,2-4-4,4123018519444,412301851944,Jazz compilation: method,Ideal for lovers of classical and modern music.,Sony Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018519444.jpg
4123018519511-1000,"Music, CD","Player, Sound System and Home Studio",Vinyl Turntable,2-5-1,4123018519511,412301851951,Opera collection: vinyl turntable,An essential collection for all music lovers.,Sony Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018519511.jpg
4123018519688-1000,"Music, CD","Player, Sound System and Home Studio",Mixing Table,2-5-2,4123018519688,412301851968,Opera collection: mixing table,Discover the greatest hits in an exceptional edition.,Atlantic Records,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018519688.jpg
4123018519755-1000,"Music, CD","Player, Sound System and Home Studio",Accessory,2-5-3,4123018519755,412301851975,Jazz compilation: accessory,Ideal for lovers of classical and modern music.,EMI,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018519755.jpg
4123018519822-1000,"Music, CD","Player, Sound System and Home Studio",Speaker,2-5-4,4123018519822,412301851982,Daft Punk Hits - Speaker,A musical journey through the best pieces of the genre.,Universal Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018519822.jpg
4123018519999-1000,"Music, CD","Player, Sound System and Home Studio",Microphone,2-5-5,4123018519999,412301851999,Jazz compilation: microphone,A high quality recording for the most demanding music lovers.,EMI,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018519999.jpg
4123018520022-1000,"Music, CD",Headphones and Earphones,Studio Headphones,2-6-1,4123018520022,412301852002,Jazz compilation: studio headphones,A high quality recording for the most demanding music lovers.,Sony Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018520022.jpg
4123018520199-1000,"Music, CD",Headphones and Earphones,Wireless Headphones,2-6-2,4123018520199,412301852019,Mozart Symphony - Wireless Headphones,An essential collection for all music lovers.,Sony Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018520199.jpg
4123018520266-1000,"Music, CD",Headphones and Earphones,Wired Headphones,2-6-3,4123018520266,412301852026,Opera Collection: Wired Headphones,A musical journey through the best pieces of the genre.,Sony Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018520266.jpg
4123018520333-1000,"Music, CD",Headphones and Earphones,Wireless Earbuds,2-6-4,4123018520333,412301852033,Unforgettable Songs: Wireless Headphones,A musical journey through the best pieces of the genre.,EMI,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018520333.jpg
4123018520400-1000,"Music, CD",Headphones and Earphones,Wired Earbuds,2-6-5,4123018520400,412301852040,Jazz compilation: wired headphones,Discover the greatest hits in an exceptional edition.,Warner,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018520400.jpg
4123018520577-1000,"Music, CD",Second-Hand,Used CD,2-7-1,4123018520577,412301852057,Daft punk hits - used cd,Ideal for lovers of classical and modern music.,Universal Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018520577.jpg
4123018520644-1000,"Music, CD",Second-Hand,Used Instrument,2-7-2,4123018520644,412301852064,Jazz compilation: used instrument,An essential collection for all music lovers.,EMI,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018520644.jpg
4123018520711-1000,"Music, CD",Second-Hand,Used Vinyl,2-7-3,4123018520711,412301852071,Mozart Symphony - Used Vinyl,Ideal for lovers of classical and modern music.,Universal Music,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018520711.jpg
4123018520888-1000,"Music, CD",Second-Hand,Used Sheet Music,2-7-4,4123018520888,412301852088,Daft punk hits - used sheet music,Ideal for lovers of classical and modern music.,Atlantic Records,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018520888.jpg
4123018520955-1000,"DVD, Blu-Ray",DVD,Science Fiction,3-1-1,4123018520955,412301852095,Essential article: science fiction,A perfect choice to meet your daily needs.,MGM,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018520955.jpg
4123018521011-1000,"DVD, Blu-Ray",DVD,Comedy,3-1-2,4123018521011,412301852101,Essential article: comedy,A reliable and stylish product for every home.,Warner Bros,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018521011.jpg
4123018521188-1000,"DVD, Blu-Ray",DVD,Horror,3-1-3,4123018521188,412301852118,Horror - Deluxe Edition,A perfect choice to meet your daily needs.,MGM,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018521188.jpg
4123018521255-1000,"DVD, Blu-Ray",DVD,Steelbook,3-1-4,4123018521255,412301852125,Essential article: steelbook,Made with premium materials for maximum durability.,Universal Pictures,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018521255.jpg
4123018521322-1000,"DVD, Blu-Ray",DVD,Used DVD,3-1-5,4123018521322,412301852132,High quality accessory: used DVD,Combines functionality and style for optimal use.,Warner Bros,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018521322.jpg
4123018521499-1000,"DVD, Blu-Ray",DVD,Action,3-1-6,4123018521499,412301852149,High quality accessory: action,Combines functionality and style for optimal use.,Paramount,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018521499.jpg
4123018521566-1000,"DVD, Blu-Ray",DVD,Youth,3-1-7,4123018521566,412301852156,Youth - luxury edition,Designed to deliver an exceptional user experience.,Universal Pictures,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018521566.jpg
4123018521633-1000,"DVD, Blu-Ray",DVD,Drama,3-1-8,4123018521633,412301852163,Drama - Deluxe Edition,Made with premium materials for maximum durability.,Universal Pictures,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018521633.jpg
4123018521700-1000,"DVD, Blu-Ray",DVD,Box Set,3-1-9,4123018521700,412301852170,Premium box,A reliable and stylish product for every home.,Paramount,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018521700.jpg
4123018521877-1000,"DVD, Blu-Ray",DVD,TV Series,3-1-10,4123018521877,412301852187,Premium TV series,Combines functionality and style for optimal use.,Fox,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018521877.jpg
4123018521944-1000,"DVD, Blu-Ray",Blu-ray,Science Fiction,3-2-1,4123018521944,412301852194,Ideal solution: science fiction,Combines functionality and style for optimal use.,Universal Pictures,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018521944.jpg
4123018522000-1000,"DVD, Blu-Ray",Blu-ray,Comedy,3-2-2,4123018522000,412301852200,Comedy - Deluxe Edition,A reliable and stylish product for every home.,Paramount,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018522000.jpg
4123018522177-1000,"DVD, Blu-Ray",Blu-ray,Horror,3-2-3,4123018522177,412301852217,Ideal solution: horror,A perfect choice to meet your daily needs.,Paramount,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018522177.jpg
4123018522244-1000,"DVD, Blu-Ray",Blu-ray,Steelbook,3-2-4,4123018522244,412301852224,Essential article: steelbook,A reliable and stylish product for every home.,Universal Pictures,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018522244.jpg
4123018522311-1000,"DVD, Blu-Ray",Blu-ray,Used Blu-ray,3-2-5,4123018522311,412301852231,Used Blu-ray - Deluxe Edition,Made with premium materials for maximum durability.,Paramount,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018522311.jpg
4123018522488-1000,"DVD, Blu-Ray",Blu-ray,Action,3-2-6,4123018522488,412301852248,High quality accessory: action,Designed to deliver an exceptional user experience.,Paramount,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018522488.jpg
4123018522555-1000,"DVD, Blu-Ray",Blu-ray,Youth,3-2-7,4123018522555,412301852255,Youth Premium,Designed to deliver an exceptional user experience.,Paramount,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018522555.jpg
4123018522622-1000,"DVD, Blu-Ray",Blu-ray,Drama,3-2-8,4123018522622,412301852262,Essential article: drama,A perfect choice to meet your daily needs.,MGM,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018522622.jpg
4123018522799-1000,"DVD, Blu-Ray",Blu-ray,Box Set,3-2-9,4123018522799,412301852279,Essential item: box set,A perfect choice to meet your daily needs.,Warner Bros,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018522799.jpg
4123018522866-1000,"DVD, Blu-Ray",Blu-ray,TV Series,3-2-10,4123018522866,412301852286,Premium TV series,Designed to deliver an exceptional user experience.,Fox,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018522866.jpg
4123018522933-1000,"DVD, Blu-Ray",Blu-ray 4K,Science Fiction,3-3-1,4123018522933,412301852293,High quality accessory: science fiction,Combines functionality and style for optimal use.,Warner Bros,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018522933.jpg
4123018523099-1000,"DVD, Blu-Ray",Blu-ray 4K,Comedy,3-3-2,4123018523099,412301852309,Essential article: comedy,Made with premium materials for maximum durability.,Warner Bros,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018523099.jpg
4123018523166-1000,"DVD, Blu-Ray",Blu-ray 4K,Horror,3-3-3,4123018523166,412301852316,Essential article: horror,Designed to deliver an exceptional user experience.,Warner Bros,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018523166.jpg
4123018523233-1000,"DVD, Blu-Ray",Blu-ray 4K,Steelbook,3-3-4,4123018523233,412301852323,Steelbook - luxury edition,Made with premium materials for maximum durability.,Warner Bros,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018523233.jpg
4123018523300-1000,"DVD, Blu-Ray",Blu-ray 4K,Used 4K Blu-ray,3-3-5,4123018523300,412301852330,Used premium 4k blu-ray,Made with premium materials for maximum durability.,Fox,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018523300.jpg
4123018523477-1000,"DVD, Blu-Ray",Blu-ray 4K,Action,3-3-6,4123018523477,412301852347,Ideal solution: action,A reliable and stylish product for every home.,MGM,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018523477.jpg
4123018523544-1000,"DVD, Blu-Ray",Blu-ray 4K,Youth,3-3-7,4123018523544,412301852354,High quality accessory: youth,Made with premium materials for maximum durability.,Paramount,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018523544.jpg
4123018523611-1000,"DVD, Blu-Ray",Blu-ray 4K,Drama,3-3-8,4123018523611,412301852361,Premium Drama,Combines functionality and style for optimal use.,Warner Bros,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018523611.jpg
4123018523788-1000,"DVD, Blu-Ray",Blu-ray 4K,Box Set,3-3-9,4123018523788,412301852378,Essential item: box set,Combines functionality and style for optimal use.,Warner Bros,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018523788.jpg
4123018523855-1000,"DVD, Blu-Ray",Blu-ray 4K,TV Series,3-3-10,4123018523855,412301852385,Ideal solution: TV series,Combines functionality and style for optimal use.,Warner Bros,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018523855.jpg
4123018523922-1000,"DVD, Blu-Ray",Player,Blu-ray Player,3-4-1,4123018523922,412301852392,High quality accessory: blu-ray player,Made with premium materials for maximum durability.,Warner Bros,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018523922.jpg
4123018524088-1000,"DVD, Blu-Ray",Player,Portable DVD Player,3-4-2,4123018524088,412301852408,Ideal solution: portable dvd player,A perfect choice to meet your daily needs.,Paramount,https://the-simple-catalog.github.io/the-simple-catalog.io/assets/media/4123018524088.jpg
